Id,Stations,LAT,LON
538,Nagarsol,20.101323,74.543216
539,Nagda Jn,23.453,75.415
540,Nagercoil Jn,8.183286,77.4119
541,Nagore,10.81278,79.8391
542,Nagpur,21.1458,79.088155
543,Nainpur JN,22.426606,80.10956
544,Najibabad Jn,29.612779,78.3446
545,Nakodar Jn,31.13,75.47
546,Nalhati Jn,24.292095,87.837784
547,Nanded,19.15,77.3
548,Nandol Dehegam,23.173634,72.815821
549,Nandurbar,21.375551,74.242764
550,Nandyal,15.478569,78.483093
551,Nangal Dam,31.381806,76.364053
552,Nanjangud Town,12.12,76.68
553,Narasapur,16.432983,81.69662
554,Narkatiaganj Jn,27.105556,84.465833
555,Narkher,17.901801,75.674628
556,Narwana Jn,29.591096,76.114599
557,Nathdwara,24.929141,73.821321
558,NAUTANWA,27.43,83.42
559,Nawagaon,29.422286,75.91729
560,Nellore,14.442599,79.986456
561,Nepalganj Road,28.574997,81.640938
562,Neral,19.024603,73.315717
563,New Alipurdaur,26.485962,89.54136
564,New Bongaigaon,26.511039,90.519329
565,New Cooch Behar,26.349045,89.465946
566,New Delhi,28.635308,77.22496
567,New Farakka Jn,24.791201,87.908602
568,New Jalpaguri,30.372498,76.824523
569,New Tinsukia Jn,27.479762,95.334011
570,Nidadavole Jn,16.92,81.67
571,Nilambur Road,11.33546,76.144805
572,Nimach,24.45,74.87
573,Nirmali,26.31074,86.572879
574,Nizamabad,18.672505,78.094087
575,Okha,22.466667,69.066667
576,Old Malda,25.055727,88.136459
577,Ongole,15.505723,80.049922
578,Pachora Jn,20.665511,75.347991
579,Palakkad,10.78673,76.654793
580,Palani,10.448919,77.520939
581,Palanpur Jn,24.174051,72.433099
582,Palasa,18.774716,84.409388
583,Palasdari,18.870546,73.32076
584,Palghat Town,10.78673,76.654793
585,Palia Kalan,28.430807,80.579951
586,Palitana,21.52,71.83
587,Palwal,28.148736,77.332026
588,PANDHARPUR,17.674554,75.323726
589,Panipat Jn,29.390946,76.963502
590,Panki,24.035711,84.477637
591,Panvel,18.989401,73.117516
592,PARADEEP,20.316552,86.611363
593,Parbhani Jn,19.260996,76.776665
594,Parli Vaijanath,18.851589,76.532885
595,Partapgarh Jn,30.888536,76.067474
596,Patan,27.666667,85.316667
597,Pathankot,32.264338,75.642112
598,Patiala,30.34,76.38
599,Patna Jn,25.611,85.144
600,Peddapalli,18.616183,79.38316
601,Pendra Road,22.913968,81.873465
602,Petlad Junction,22.483615,72.801351
603,Phaphund,26.6,79.47
604,Phulera Jn,26.87,75.23
605,Piduguralla,16.485156,79.890055
606,Pilibhit Jn,28.620794,79.812865
607,Porbandar,21.641707,69.629265
608,PRATAPNAGAR,26.807023,75.809787
609,Prayag,28.055653,80.857152
610,Prayag Ghat,25.306732,83.010437
611,Puducherry,11.91386,79.814472
612,Pulgaon Jn,20.726,78.317
613,Punalur,9.017,76.926
614,Pune Jn,18.52043,73.856744
615,Puri,19.813382,85.831465
616,Purna Jn,19.179026,77.030539
617,Purulia Jn,23.332078,86.365208
618,QADIAN,31.82,75.39
619,QUILON,8.893212,76.61414
620,Radhikapur,25.641242,88.4416
621,Rae Bareli Jn,26.23,81.25
622,RAGHOPUR,25.533812,85.383512
623,Raghunathpur,23.53438,86.668663
624,RAGHURAJSINGH,26.255756,80.879572
625,Raichur,16.2,77.37
626,Raigarh,21.9,83.4
627,Raipur Jn,21.251384,81.629641
628,Raja Ka Sahaspr,28.628192,78.779674
629,Rajahmundry,17.000538,81.804034
630,Rajgir,25.017257,85.416164
631,RAJIM,20.965,81.881667
632,Rajkot Jn,22.303895,70.80216
633,Rajmahal,25.053093,87.831643
634,Rajula City,21.041107,71.448824
635,RAMAKONA,21.718744,78.848173
636,Rameswaram,9.287625,79.312929
637,Ramnagar,29.394764,79.1265
638,Rampur Hat,24.17,87.78
639,Ramtek,21.4,79.33
640,Ranaghat Jn,23.18,88.58
641,Ranchi,23.3441,85.309562
642,Rangiya Jn,26.435536,91.620293
643,Ranuj,23.760017,72.223054
644,Ratangarh Jn,28.078657,74.621878
645,Ratlam Jn,23.33417,75.037632
646,Ratnagiri,16.990215,73.312023
647,Raxual Jn,26.981111,84.853056
648,Rayagada,19.17,83.42
649,Renigunta Jn,13.637311,79.503596
650,Repalle,16.017425,80.829475
651,Rewa,24.53,81.3
652,Rewari,28.183333,76.616667
653,Rishikesh,30.086928,78.267612
654,Rjndr Ngr Bihar,25.60556,85.120724
655,Rmgrh Shekhwati,28.169554,75.000012
656,Roha,18.432032,73.114307
657,Rohtak Jn,28.8909,76.5796
658,Rourkela,22.260423,84.853584
659,Roza Jn,28.620987,78.851004
660,Rupsa Jn,29.258333,81.533333
661,Sabalgarh,26.24698,77.407014
662,Saharanpur,29.964,77.546
663,Saharsa Jn,25.870556,86.601389
664,Sahibabad,28.665364,77.349335
665,Sahibganj Jn,25.235422,87.643314
666,Sai P Nilayam,17.490227,77.87163
667,Sainagar Shirdi,19.777678,74.503844
668,Sainthia,23.95,87.666667
669,Sakri Jn,20.992605,74.314074
670,Salem Jn,11.664325,78.146014
671,Salempur Jn,26.3,83.916667
672,Salur,18.516385,83.205086
673,Samastipur Jn,25.862968,85.781026
674,Sambalpur,21.47,83.97
675,SAMBHALHTMSAR,28.59,78.57
676,Sangli,16.867,74.567
677,Sanjan,20.192113,72.817944
678,Santragachi Jn,22.583918,88.28261
679,Sasaram,24.949036,84.03143
680,Satara,17.69139,74.00092
681,Satna,24.58,80.83
682,Saugor,23.838805,78.737807
683,Sawai Madhopur,25.983333,76.366667
684,Sawantwadi Road,15.95604,74.19579
685,Sealdah,22.565473,88.37128
686,Secunderabad Jn,17.43993,78.498274
687,SEHARABAZAR,23.111855,87.802206
688,SENGOTTAI,8.973333,77.246389
689,Shahdol,23.302189,81.356802
690,Shahganj Jn,24.701836,82.954189
691,Shahjahanpur,27.88,79.91
692,Shakti Nagar,24.120736,82.693053
693,Shakurbasti,28.679876,77.132157
694,Shalimar,22.559005,88.317257
695,SHAMLI,29.448056,77.310278
696,Sheopur Kalan,25.671182,76.700506
697,Shikohabad Jn,27.106176,78.588167
698,Shimla,31.104605,77.173424
699,Shimoga Town,13.92993,75.568101
700,Shoranur Jn,10.77,76.28
701,Shri Ganganagar,29.401855,73.559413
702,Shri Mata Vaishno Devi,29.376066,79.431075
703,Sikar Jn,27.6094,75.139911
704,Silchar,24.82,92.8
705,Silghat Town,26.603228,92.928832
706,Siliguri Jn,26.708382,88.426874
707,Simaluguri Jn,26.91992,94.761393
708,Sindri Town,22.806579,85.99302
709,Singrauli,24.202,82.666
710,SIRMUTTRA,27.023804,74.217933
711,Sirpur Kagaznagar,19.358146,79.482334
712,Sirpur Town,21.349598,74.879713
713,Sirsa,29.533593,75.017703
714,Sitamarhi,26.6,85.48
715,Sitapur,27.583904,80.666356
716,Sitapur Cant,27.557447,80.699462
717,Sitapur City,27.583904,80.666356
718,Siuri,23.916667,87.533333
719,Siwan Jn,26.219621,84.356659
720,Solapur Jn,17.659919,75.906391
721,Somnath,20.906002,70.384372
722,Sonipat,28.928575,77.091494
